date,ticker,embed_pca16_00,embed_pca16_01,embed_pca16_02,embed_pca16_03,embed_pca16_04,embed_pca16_05,embed_pca16_06,embed_pca16_07,embed_pca16_08,embed_pca16_09,embed_pca16_10,embed_pca16_11,embed_pca16_12,embed_pca16_13,embed_pca16_14,embed_pca16_15
2025-10-09,MSFT,0.2661592,0.21423417,-0.27608272,-0.2673053,-0.08756601,-0.0070024477,-0.15793388,-0.026497656,-0.19037987,0.18107066,-0.010310317,0.025670378,0.075913616,0.013878802,0.07935658,0.025015488
2025-10-09,MSFT,0.26838684,0.07527632,-0.08574963,-0.07878992,-0.22909984,0.13317598,0.07014335,0.2812119,-0.17110714,-0.03275621,-0.027223062,0.006330133,-0.032777715,0.0980885,-0.016708732,0.26505965
2025-10-09,MSFT,0.3407065,-0.08663884,-0.08865838,-0.10836581,-0.04261855,-0.107735604,0.018826626,0.15111212,-0.2613099,-0.0231169,0.0453414,0.048155323,0.09767931,0.057462096,-0.08753426,-0.077340394
2025-10-09,MSFT,0.39916998,0.099424586,-0.13876285,-0.24207172,-0.13840592,0.0030029588,0.0738357,0.28228748,-0.23585725,0.026219828,0.04663108,0.13373011,-0.15230338,0.04495135,-0.09353508,-0.007542569
2025-10-09,MSFT,0.16194412,0.11017311,-0.1327955,-0.01262164,-0.031734087,0.11238696,-0.06455609,0.2937488,-0.050924636,-0.0043031704,0.0062510152,0.22299172,-0.121837266,0.077393405,0.1944642,0.080104254
2025-10-10,MSFT,-0.10071265,0.027640369,-0.006403998,-0.13309386,-0.09914,0.032672435,0.099659964,0.0823863,-0.130892,0.21918477,0.17911059,0.2625952,-0.1186589,0.13363802,-0.34539053,-0.010283965
2025-10-12,MSFT,0.21560442,0.08576363,-0.15241402,-0.1675781,-0.2001249,0.041258566,-0.12376775,0.009275415,-0.09207002,0.12140403,-0.16110846,0.040586706,0.0068746065,-0.1430184,-0.07208986,0.10592699
2025-10-13,MSFT,0.29737306,0.07200265,-0.19795202,-0.20819801,-0.10888773,-0.04510857,0.06952323,0.32530677,-0.352515,-0.026050283,-0.083618134,0.012101151,-0.023389122,0.11108002,-0.06204823,0.044281717
2025-10-13,MSFT,0.06892778,0.13577342,-0.1752283,-0.18607077,-0.11772517,0.17771915,0.0017833702,0.33098337,-0.26129538,0.10119073,0.008053143,-0.039144766,-0.14629264,0.1325987,0.03241323,0.06624244
2025-10-16,MSFT,0.38366756,0.28905368,-0.17950125,-0.30550876,-0.2240499,0.034345526,-0.032352556,0.10989078,-0.24456137,0.039529245,-0.0100900605,0.04684287,0.060829777,-0.025373029,0.07960459,-0.080119856
2025-10-16,MSFT,0.3068829,0.21354514,-0.20310472,-0.22442035,-0.19612147,-0.054359015,-0.05558545,0.1329956,-0.19271283,0.058566738,-0.01707748,0.08690607,0.0061006723,0.041076317,0.05456543,0.065432064
2025-10-16,MSFT,0.34917906,0.20594263,-0.2603456,-0.20382273,-0.2145082,-0.08128019,0.08224733,-0.01816214,-0.30196518,0.062327046,0.027570777,0.0041283695,0.086156085,0.0405608,0.03237753,-0.021800382
2025-10-16,MSFT,0.2817666,0.052522432,-0.038343344,-0.033698127,-0.06850436,-0.09740141,0.08210437,0.19889204,-0.17747623,-0.08869213,-0.072111435,0.043241616,-0.053529695,0.11434715,-0.075853966,0.08207101
2025-10-17,MSFT,-0.17898044,0.20553148,-0.03432294,-0.2235503,0.026179833,0.089162394,0.05023979,0.18163428,-0.11303964,0.17296837,-0.25320673,0.04511143,0.036594648,0.07861394,-0.023761695,0.08059336
2025-10-21,MSFT,-0.014174948,0.09142435,-0.028976498,-0.017937409,-0.046134736,0.16064309,-0.014697866,0.15931691,-0.107640654,0.07061484,-0.14330575,-0.031225638,-0.16480055,0.111491054,0.030173384,-0.0130446935
2025-10-21,MSFT,0.24354295,0.20553079,-0.18792996,-0.17527698,-0.15905164,-0.086543605,-0.078302845,0.072882615,-0.22381227,0.12495289,0.0943437,-0.014740859,-0.13507633,0.060273673,0.12134523,-0.11410236
2025-10-21,MSFT,-0.06734987,0.19011241,-0.090569384,-0.34364197,-0.010786226,0.08650623,0.022832088,0.20875803,-0.03337306,0.22597137,-0.097569615,0.12424278,-0.0036838534,0.011467112,-0.19534594,0.1281475
2025-10-24,MSFT,0.30946782,0.25471804,-0.04965105,-0.03477565,-0.15498209,-0.11866132,0.15239953,0.1824913,-0.12302188,-0.081190094,-0.06412513,0.07078979,0.08954157,0.0656166,-0.003647187,0.1529626
2025-10-26,MSFT,-0.15051705,0.093031995,-0.083393134,-0.16056277,-0.04636924,0.016262319,0.030293293,0.21591945,-0.13600011,0.19540346,-0.23892194,0.112551235,0.05471708,-0.018348131,-0.0869693,-0.00057844404
2025-10-27,MSFT,0.08216487,0.3027096,-0.0021128077,0.0673002,0.031191528,0.016322993,0.26027927,0.3094607,-0.032720007,0.09895326,0.03571771,-0.04947441,0.06504354,0.08118732,0.1686988,-0.07400802
2025-10-27,MSFT,-0.13262966,0.036116704,-0.069617175,-0.16968124,-0.07685935,-0.05649922,0.11811984,0.13585272,-0.18785475,0.08221921,0.068976164,0.29812,0.04178777,0.10310285,-0.1376612,-0.114550024
2025-10-28,MSFT,-0.08715352,0.24229495,0.08528077,0.052829225,-0.13875908,0.18564343,0.16797347,0.2679437,-0.08178495,0.100847945,-0.23699716,0.0327513,-0.010811124,0.052121475,0.11238017,-0.014767785
2025-10-28,MSFT,0.35240754,0.35278964,-0.103088945,-0.09442117,-0.17609203,0.06935674,-0.039335497,0.16095401,-0.038280524,0.04106867,-0.24888301,-0.0010558609,0.041763175,-0.15258604,-0.118427634,0.0098744845
2025-10-28,MSFT,-0.24518044,0.09169163,-0.07251096,-0.16615017,-0.035738703,-0.056512613,0.014333438,0.23604317,-0.22358522,0.061102476,-0.19521809,0.23822156,0.13756002,-0.048318386,-0.01650153,-0.06393966
2025-10-28,MSFT,0.0026974098,0.22922702,-0.15064037,-0.07375162,-0.18342869,0.014929225,-0.021534594,0.20690145,-0.006259174,0.12097378,-0.2711775,-0.08744476,0.010760625,-0.20075245,-0.05444766,-0.036590025
2025-10-28,MSFT,-0.0032000355,0.15792844,-0.037264973,-0.047607712,-0.14538588,0.036829133,0.03859481,0.21734269,0.06456648,0.016187323,-0.27611223,0.12174856,0.01802863,-0.26889005,-0.007530552,-0.03133953
2025-10-28,MSFT,0.05091556,0.24384722,-0.07829059,-0.035129663,-0.09190737,0.08733612,0.05557084,0.23534232,0.018032486,0.12385956,-0.3330853,0.042814795,-0.033505302,-0.13767275,0.0018819494,0.037553597
2025-10-29,MSFT,-0.09933175,0.14690325,-0.14699283,-0.12715751,-0.18575652,-0.022299957,0.049552564,0.2615542,-0.13637559,0.16956952,-0.09643121,0.0014297112,0.06907446,-0.00082802767,0.08030251,-0.10711075
